asset_path,asset_type,creator,model_metadata,created,last_modified,verification,notes,ai_output_hash
C:\Users\spaci\Dropbox\Apps\Overleaf\AI in the Research Process\main.tex,draft,mixed,claude-opus-4-7 / claude-code,4/21/2026,4/23/2026,not-verified,Overleaf source: full v1 agent draft + subsequent user revisions; 2026-04-23 review-feedback pass added citation anchors across §1-§4 and cleared typos/syntax per quick-fix checklist; online appendix now includes startup checklist + skill protocols + self-interview worked example + ledger schemas + replication-package pointer; all literature cites partially-verified pending Stage 6; EXTERNAL (Overleaf working copy),
C:\Users\spaci\Dropbox\Apps\Overleaf\AI in the Research Process\tables\table1-vocabulary.tex,table,agent,claude-opus-4-7 / claude-code,4/21/2026,4/21/2026,not-verified,Overleaf Table 1: v2 tightened text ~30%; [H] placement via float package; EXTERNAL,
C:\Users\spaci\Dropbox\Apps\Overleaf\AI in the Research Process\references.bib,reference,mixed,claude-opus-4-7 / claude-code,4/21/2026,4/21/2026,partially-verified,Overleaf bib file; agent added sresearcher2026 stub entry (author metadata TODO for Stage 6); EXTERNAL,
C:\Users\spaci\Dropbox\Apps\Overleaf\AI in the Research Process\appendix\*.md,reference,mixed,claude-opus-4-7 / claude-code,4/21/2026,4/21/2026,not-verified,Overleaf-side copies of the 4 appendix artifacts (skill-writing project-setup lit-review-protocol startup-checklist); consumed by \verbatiminput in main.tex; EXTERNAL,
ai-agent-draft.tex,draft,agent,claude-opus-4-7 / claude-code,4/21/2026,4/21/2026,not-verified,Snapshot copy of Overleaf main.tex (291 lines) after first full-paper drafting pass + appendix sprint; user will review and edit in Overleaf going forward,
tables/table1-vocabulary.tex,table,agent,claude-opus-4-7 / claude-code,4/21/2026,4/21/2026,not-verified,Project-local Table 1: synced from Overleaf; v2 tightened text ~30%; [H] placement,
appendix/skill-writing.md,reference,mixed,claude-opus-4-7 / claude-code,4/21/2026,4/21/2026,partially-verified,Full skill-writing protocol (6 phases + template + failure modes + worked DiD example); expanded from 18-line brainstorm; synced to Skills/skill-writing-protocol.md,
appendix/lit-review-protocol.md,reference,mixed,claude-opus-4-7 / claude-code,4/21/2026,4/21/2026,partially-verified,Copy of Skills/lit-review-protocol.md for replication-bound appendix; keep in sync with Skills/ canonical copy,
appendix/startup-checklist.md,reference,agent,claude-opus-4-7 / claude-code,4/21/2026,4/21/2026,not-verified,Hyper-minimalist one-page checklist for researchers graduating from chat to harness; keyed to §3 setup stack,
appendix/README.md,reference,agent,claude-opus-4-7 / claude-code,4/21/2026,4/21/2026,not-verified,Orients the online appendix as replication-package content; lists the 4 artifacts and their relation to the parent project folder,
C:\Users\spaci\Dropbox\Skills\skill-writing-protocol.md,reference,agent,claude-opus-4-7 / claude-code,4/21/2026,4/21/2026,not-verified,NEW permanent Skills asset: skill-writing protocol (source of truth; project-local copy lives at appendix/skill-writing.md); EXTERNAL to this project,
appendix/skills-library-setup.md,reference,agent,claude-opus-4-7 / claude-code,4/22/2026,4/22/2026,not-verified,First draft of library-setup skill per Stage 5b; 5 phases (confirm / location / librarian / seed / wire+test) with interview-driven choices between index-first / frontmatter-discovery / harness-native / hybrid patterns; not yet dogfooded; needs sync to Skills/ and project-setup handoff wiring,
appendix/project-setup-existing.md,reference,agent,claude-opus-4-7 / claude-code,4/23/2026,4/23/2026,not-verified,"First draft of retrofit skill per Stage 5b; companion to project-setup.md; seven phases with three retrofit depths (full restructure / selective additions / minimal adoption); identical copy in C:\Users\spaci\Dropbox\Skills\project-setup-existing.md; not yet dogfooded",
appendix/skills-library-connection.md,reference,agent,claude-opus-4-7 / claude-code,4/23/2026,4/23/2026,not-verified,"First draft of wiring skill per Stage 5b #3; harness-adaptive connection between a project and a skills library; four mechanism families (native copy / symlink / instruction-file pointer / README-only); recommendation matrix across (harness x library-format x replication-bound); identical copy in C:\Users\spaci\Dropbox\Skills\skills-library-connection.md; both project-setup variants dispatch to it; not yet dogfooded",
appendix/self-interview-example.md,reference,agent,claude-opus-4-7 / claude-code,4/23/2026,4/23/2026,not-verified,"Stage 5b #4: worked example of §3.4 prompt-level self-interview on survey-questionnaire design (8 Q&A pairs + load-bearing/domain-dominant rubric); identical copy at Overleaf appendix/self-interview-example.md; rendered in main.tex as \S B cross-referenced from §3.4",
background/feedback/review-2026-04-23-main-text.md,note,agent,claude-opus-4-7 / claude-code,4/23/2026,4/23/2026,not-verified,"Main-text review (abstract-§4; appendix skipped) along 3 dimensions: content gaps, syntax/clarity typos, literature-support gaps. Cross-references lit-review strand files; all suggested citekeys verified against references.bib. Includes punch-list of typos and theme-indexed citation appendix.",
C:\Users\spaci\Dropbox\Apps\Overleaf\AI in the Research Process\1h-seminar-presentation\00_base.tex,draft,mixed,claude-opus-4-7 / claude-code,4/24/2026,4/24/2026,not-verified,"Beamer base file for 1h seminar deck: 16:9 aspectratio, title block, \input of preamble and slides. EXTERNAL to this project (lives in Overleaf subfolder); drafted per slide-writing-protocol.md Phase 3.",
C:\Users\spaci\Dropbox\Apps\Overleaf\AI in the Research Process\1h-seminar-presentation\01_preamble.tex,draft,mixed,claude-opus-4-7 / claude-code,4/24/2026,4/24/2026,not-verified,"Beamer preamble for seminar deck: Boadilla theme, circle bullets, AtBeginSection auto-title, TikZ (arrows/positioning/shapes/fit/calc), natbib in-text. EXTERNAL to this project.",
C:\Users\spaci\Dropbox\Apps\Overleaf\AI in the Research Process\1h-seminar-presentation\02_slides.tex,draft,mixed,claude-opus-4-7 / claude-code,4/24/2026,4/24/2026,not-verified,"37 body frames + 12 appendix frames matching Phase 2 outline; three live-demo interludes threaded through one shared toy project (/project-setup-existing retrofit, /skill-writing=>/operationalize build, composed measurement-skills workflow on a latent variable). Paper figures 1/2/4 reused as TikZ; hero infographic on motivation opener. Bibliography rendered as hidden frame at end so natbib resolves \citep keys without the bibliography being part of the talk arc. EXTERNAL to this project.",
C:\Users\spaci\Dropbox\Apps\Overleaf\AI in the Research Process\1h-seminar-presentation\participant-setup.md,note,mixed,claude-opus-4-7 / claude-code,4/24/2026,4/24/2026,not-verified,"One-page participant-facing prep message for the 1h seminar: session framing, walk-aways, install + authenticate + package download instructions, Option A (bring-your-own variable) vs Option B (V-Dem/ANES/QoG toy projects), two advance-thought questions, format note. Two [TO FILL] placeholders (install link/command, shared package link). EXTERNAL to this project. Mirrored at workshop-package/participant-setup.md.",
workshop-package/README.md,note,mixed,claude-opus-4-7 / claude-code; gpt-5 / codex,4/24/2026,4/26/2026,not-verified,"Top-level map of the workshop ZIP. 2026-04-26 hardening pass adds package-local `CLAUDE.md` / `AGENTS.md`, Claude-native wrapper skills under `.claude/skills/`, a `projects/` staging folder for participant working copies, and clearer instructions for choosing between `/project-setup` and `/project-setup-existing`.",
workshop-package/participant-setup.md,note,mixed,claude-opus-4-7 / claude-code; gpt-5 / codex,4/24/2026,4/26/2026,not-verified,"Mirror copy of the participant-facing prep sheet. 2026-04-26 update adds exact setup instructions: open `workshop-package/` root, create one working folder under `projects/`, use `/project-setup-existing` for copied examples and `/project-setup` for brand-new folders, and rely on the package's local Claude/Codex wiring rather than an external OS install.",
workshop-package/live-demos.tex,note,agent,gpt-5 / codex,4/26/2026,4/26/2026,not-verified,"LaTeX source for the one-page demo guide. 2026-04-26 update shifts the entry point to the `workshop-package/` root, distinguishes `/project-setup` from `/project-setup-existing`, and reframes Demo 2 as revising or rebuilding `skills/operationalize.md` rather than drafting it from scratch.",
workshop-package/live-demos.pdf,note,agent,gpt-5 / codex,4/25/2026,4/25/2026,not-verified,"Rendered PDF companion to `workshop-package/live-demos.tex`. The LaTeX source was updated on 2026-04-26, but the PDF was not regenerated in this environment because `pdflatex` was unavailable; rebuild before delivery.",
workshop-package/CLAUDE.md,reference,agent,gpt-5 / codex,4/26/2026,4/26/2026,not-verified,"Project instructions for Claude Code inside the seminar package. Declares the package self-contained, points Claude to the local wrapper skills under `.claude/skills/`, and distinguishes the new-project `/project-setup` path from the retrofit `/project-setup-existing` path.",
workshop-package/AGENTS.md,reference,agent,gpt-5 / codex,4/26/2026,4/26/2026,not-verified,"Project instructions for Codex inside the seminar package. Points Codex directly to the canonical local playbooks in `workshop-package/skills/` and records the package's intentionally lightweight stack design.",
workshop-package/projects/README.md,note,agent,gpt-5 / codex,4/26/2026,4/26/2026,not-verified,"Participant-facing instructions for creating exactly one working folder under `projects/`, either by copying a shipped toy project or by creating a new folder with participant-supplied assets.",
workshop-package/toy-project-vdem/outline.md,note,mixed,claude-opus-4-7 / claude-code,4/24/2026,4/24/2026,not-verified,"Rough outline for the V-Dem toy project: clientelism as latent construct; research question about clientelism across democratic regimes; V-Dem v16 as data source; measurement problem framing.",
workshop-package/toy-project-vdem/draft.md,note,mixed,claude-opus-4-7 / claude-code,4/24/2026,4/24/2026,not-verified,"Partial draft intro paragraph for the V-Dem toy project. One paragraph, placeholder for subsequent sections pending operationalization.",
workshop-package/toy-project-vdem/data/V-Dem-CY-FullOthers-v16_csv.zip,dataset,agent,claude-opus-4-7 / claude-code,4/24/2026,4/24/2026,not-verified,"Raw V-Dem v16 Country-Year Full+Others dataset (copied from user's Downloads). Contains V-Dem-CY-Full+Others-v16.csv (406MB extracted) + codebook.pdf + cautionary_notes.pdf + suggested_citation.pdf + whats_new.pdf. Shipped unsliced per user instruction. License: CC BY-NC-SA (redistribution permitted with attribution).",
workshop-package/toy-project-anes/outline.md,note,mixed,claude-opus-4-7 / claude-code,4/24/2026,4/24/2026,not-verified,"Rough outline for the ANES toy project: political efficacy as latent construct; RQ about efficacy and turnout independent of partisan strength; ANES 2024 Time Series as data source; measurement problem framing around internal/external efficacy dimensions.",
workshop-package/toy-project-anes/draft.md,note,mixed,claude-opus-4-7 / claude-code,4/24/2026,4/24/2026,not-verified,"Partial draft intro paragraph for the ANES toy project. One paragraph, placeholder for subsequent sections.",
workshop-package/toy-project-anes/data/DOWNLOAD.md,note,mixed,claude-opus-4-7 / claude-code,4/24/2026,4/24/2026,not-verified,"Download instructions for ANES 2024 CSV: registration link, user-agreement note, extraction path. Ships in lieu of the raw data itself since ANES prohibits redistribution.",
workshop-package/toy-project-anes/data/anes_timeseries_2024_userguidecodebook_20250808.pdf,reference,agent,claude-opus-4-7 / claude-code,4/24/2026,4/24/2026,not-verified,"ANES 2024 Time Series Study codebook (extracted from the CSV zip). Documents all variables including the efficacy items. Redistributable as documentation.",
workshop-package/toy-project-qog/outline.md,note,mixed,claude-opus-4-7 / claude-code,4/24/2026,4/24/2026,not-verified,"Rough outline for the QoG toy project: state capacity as latent construct; RQ about which dimension predicts service delivery; QoG cross-section January 2026 as data source; measurement problem framing around competing indicators.",
workshop-package/toy-project-qog/draft.md,note,mixed,claude-opus-4-7 / claude-code,4/24/2026,4/24/2026,not-verified,"Partial draft intro paragraph for the QoG toy project. One paragraph, placeholder for subsequent sections.",
workshop-package/toy-project-qog/data/qog_std_cs_jan26.csv,dataset,agent,claude-opus-4-7 / claude-code,4/24/2026,4/24/2026,not-verified,"Raw QoG Standard Cross-Section dataset, January 2026 release (copied from user's Downloads). Contains 194 countries x several hundred columns drawn from WGI, ICRG, BTI, V-Dem, Freedom House, and others. Shipped unsliced per user instruction. License: CC BY 4.0 (redistribution permitted).",
workshop-package/skills/btw-welfare-check.md,reference,mixed,claude-opus-4-7 / claude-code,4/24/2026,4/24/2026,not-verified,"/btw welfare-check skill for the workshop. Invites the agent to reflect on the just-finished session via six non-leading introspective questions (noticed/difficult/wanted-other/sign-off gates/push back/surprising). Explicit non-claims about inner states. Used in the deck's closing 'A dimension to watch' section: attendees run it on their DEMO 3 session; presenter runs it live on a minimal-input variant for comparison. Frames the dimension as salient-but-unsettled, not as a claim.",
workshop-package/skills/README.md,note,agent,gpt-5 / codex,4/26/2026,4/26/2026,not-verified,"Index of the canonical seminar playbooks. Distinguishes setup/meta-skills from measurement skills and explains the relationship between `skills/` and Claude's wrapper skills under `.claude/skills/`.",
workshop-package/skills/project-setup.md,reference,agent,gpt-5 / codex,4/26/2026,4/26/2026,not-verified,"Workshop-specific `/project-setup` skill for a brand-new participant folder built from chosen assets. Creates minimal structure (`data/`, `lit/`, `docs/`, `archive/`), local provenance ledgers, and a README that points back to `../skills/`.",
workshop-package/skills/project-setup-existing.md,reference,agent,gpt-5 / codex,4/26/2026,4/26/2026,not-verified,"Workshop-specific `/project-setup-existing` skill for copied toy projects or other pre-existing participant folders. Preserves the existing layout while adding README, roadmap, provenance ledgers, and any missing `docs/` / `archive/` structure.",
workshop-package/skills/skill-writing.md,reference,agent,gpt-5 / codex,4/26/2026,4/26/2026,not-verified,"Workshop-specific `/skill-writing` meta-skill. Default use case is revising or rebuilding `skills/operationalize.md` from the local Adcock and Collier source plus participant answers, without assuming a global skills library.",
workshop-package/skills/conceptualize.md,reference,mixed,claude-opus-4-7 / claude-code,4/24/2026,4/24/2026,not-verified,"/conceptualize measurement skill: from vague concept to precise definition with dimensions, scope conditions, neighbors, and prior-literature positioning. First skill in the measurement workflow. Outputs docs/conceptualization.md (YAML structure: one-sentence definition, dimensions, scope conditions, neighbors, prior-definitions relationship). Hand-drafted; vault had no direct seed (conceptualization is upstream of vault's stage-5 operationalization-agent).",
workshop-package/skills/operationalize.md,reference,mixed,claude-opus-4-7 / claude-code,4/24/2026,4/24/2026,not-verified,"/operationalize measurement skill: translates conceptual definitions into measurement strategy via five-step interview (concept-to-indicator, unit of analysis, scale+coding, data source, interpretive caveat). Second skill in the measurement workflow. Seeded from C:\Users\spaci\Dropbox\Business\RealResearch\RealResearch\vault-source\agents\operationalization-agent.md; curriculum-specific frontmatter (stage, upstream_agents, gating_criteria, version) dropped in favor of flat name+description matching Dropbox/Skills conventions; voice adapted from student-facing teaching to researcher-facing procedure. Outputs docs/operationalization.md.",
workshop-package/skills/validate-construct.md,reference,mixed,claude-opus-4-7 / claude-code,4/24/2026,4/24/2026,not-verified,"/validate-construct measurement skill: stress-tests whether an operationalized indicator captures its conceptual construct via four classical checks (convergent, discriminant, content, face) plus a specific-threats register. Third skill in the measurement workflow. Hand-drafted; no direct vault seed but draws on standard psychometric practice. Outputs docs/validity-construct.md.",
workshop-package/skills/validate-criterion.md,reference,mixed,claude-opus-4-7 / claude-code,4/24/2026,4/24/2026,not-verified,"/validate-criterion measurement skill: assesses concurrent, predictive, and known-groups criterion validity with explicit pre-set thresholds. Emphasizes locking thresholds before estimation to avoid post-hoc rationalization. Fourth skill in the measurement workflow. Outputs docs/validity-criterion.md.",
workshop-package/skills/assess-reliability.md,reference,mixed,claude-opus-4-7 / claude-code,4/24/2026,4/24/2026,not-verified,"/assess-reliability measurement skill: quantifies measurement error across time (test-retest), coders (inter-rater with kappa/alpha/ICC), and items (internal consistency with Cronbach's alpha or omega). Fifth and final skill in the measurement workflow. Includes reliability-vs-validity tradeoff reflection. Outputs docs/reliability.md. Closes the measurement dossier.",
workshop-package/.claude/skills/project-setup/SKILL.md,reference,agent,gpt-5 / codex,4/26/2026,4/26/2026,not-verified,"Claude-native wrapper skill for `/project-setup`. Thin bridge that points back to `workshop-package/skills/project-setup.md` as the canonical playbook.",
workshop-package/.claude/skills/project-setup-existing/SKILL.md,reference,agent,gpt-5 / codex,4/26/2026,4/26/2026,not-verified,"Claude-native wrapper skill for `/project-setup-existing`. Thin bridge that points back to `workshop-package/skills/project-setup-existing.md` as the canonical playbook.",
workshop-package/.claude/skills/skill-writing/SKILL.md,reference,agent,gpt-5 / codex,4/26/2026,4/26/2026,not-verified,"Claude-native wrapper skill for `/skill-writing`. Thin bridge that points back to `workshop-package/skills/skill-writing.md` and defaults the live build toward `skills/operationalize.md`.",
workshop-package/.claude/skills/conceptualize/SKILL.md,reference,agent,gpt-5 / codex,4/26/2026,4/26/2026,not-verified,"Claude-native wrapper skill for `/conceptualize`, pointing back to the canonical measurement playbook in `workshop-package/skills/conceptualize.md`.",
workshop-package/.claude/skills/operationalize/SKILL.md,reference,agent,gpt-5 / codex,4/26/2026,4/26/2026,not-verified,"Claude-native wrapper skill for `/operationalize`, pointing back to the canonical measurement playbook in `workshop-package/skills/operationalize.md`.",
workshop-package/.claude/skills/validate-construct/SKILL.md,reference,agent,gpt-5 / codex,4/26/2026,4/26/2026,not-verified,"Claude-native wrapper skill for `/validate-construct`, pointing back to the canonical measurement playbook in `workshop-package/skills/validate-construct.md`.",
workshop-package/.claude/skills/validate-criterion/SKILL.md,reference,agent,gpt-5 / codex,4/26/2026,4/26/2026,not-verified,"Claude-native wrapper skill for `/validate-criterion`, pointing back to the canonical measurement playbook in `workshop-package/skills/validate-criterion.md`.",
workshop-package/.claude/skills/assess-reliability/SKILL.md,reference,agent,gpt-5 / codex,4/26/2026,4/26/2026,not-verified,"Claude-native wrapper skill for `/assess-reliability`, pointing back to the canonical measurement playbook in `workshop-package/skills/assess-reliability.md`.",
workshop-package/.claude/skills/btw/SKILL.md,reference,agent,gpt-5 / codex,4/26/2026,4/26/2026,not-verified,"Claude-native wrapper skill for `/btw`, pointing back to the canonical `workshop-package/skills/btw-welfare-check.md` coda skill.",
docs/seminar.md,draft,mixed,claude-opus-4-7 / claude-code; gpt-5 / codex,4/24/2026,4/26/2026,not-verified,"Jekyll subpage at permalink /seminar/. Adapted from participant-setup.md with front matter (layout default, title, permalink), breadcrumb back to paper page, and the Dropbox download rendered as a .btn .btn-primary CTA. 2026-04-26 update syncs the page to the hardened workshop package: open the package root, create one working folder under `projects/`, choose between `/project-setup` and `/project-setup-existing`, and rely on the package's local Claude/Codex wiring rather than an external OS install.",
website/README.md,note,agent,gpt-5 / codex,4/26/2026,4/26/2026,not-verified,"Root map for the dedicated website workspace. Defines the split between the live `docs/` site and the new redesign sandbox under `website/`, and records that existing concept assets remain in place until a later signed-off move plan.",
website/briefs/README.md,note,agent,gpt-5 / codex,4/26/2026,4/26/2026,not-verified,"Purpose note for website strategy materials: prompts, concept notes, and design briefs. Explicitly points to the current Figma-style board in background/concepts until migration is approved.",
website/content/README.md,note,agent,gpt-5 / codex,4/26/2026,4/26/2026,not-verified,"Purpose note for website-only copy drafts and messaging experiments, kept separate from the paper and replication-package prose.",
website/figma/README.md,note,agent,gpt-5 / codex,4/26/2026,4/26/2026,not-verified,"Purpose note for Figma handoff materials, component planning, and design-system references for the website build.",
website/site/README.md,note,agent,gpt-5 / codex,4/26/2026,4/26/2026,not-verified,"Purpose note for the future rebuild staging area. Clarifies that no production hosting or routing has been changed yet.",
website/assets/source/README.md,note,agent,gpt-5 / codex,4/26/2026,4/26/2026,not-verified,"Purpose note for raw generated graphics, large exports, and intermediate website assets before optimization.",
website/assets/optimized/README.md,note,agent,gpt-5 / codex,4/26/2026,4/26/2026,not-verified,"Purpose note for web-ready website assets that have been optimized and approved for site use.",
website/archive/README.md,note,agent,gpt-5 / codex,4/26/2026,4/26/2026,not-verified,"Archive folder note for superseded website concepts and retired materials; follows the project's archive-don't-delete rule.",
workshop-package/install-tiers/spec.md,reference,agent,claude-opus-4-7 / claude-code,5/5/2026,5/5/2026,partially-verified,Phase 0 v2 spec for May 18 install tiers. GitHub-linked architecture: assets in public AI OS repo (sanitization upstream); workshop-local carries thin wrappers. Four personas (chief-of-staff/writer/engineer/researcher); project-setup Phase 0 insulated/linked fork. 4 open questions remain in §10.,
